lead_id,first_name,last_name,phone,email,company,address,city,state,state_code,zip,lead_type,distress_signal,motivation_profile,asking_price,est_equity,score,grade,source,status
AL-S-0048,Mary,Roberts,+12057602466,mary.roberts@hotmail.com,,8996 Forest Blvd,Birmingham,Alabama,AL,35298,Seller,Code Violation,Financial Hardship - Needs Cash,579656,272219,98,A+,Nationwide Lead Gen,NEW
AZ-S-0113,James,Thompson,+14809449074,james.thompson@aol.com,,5173 Monroe Ct,Chandler,Arizona,AZ,26380,Seller,Vacant Property,Tired Landlord - Ready to Exit,662565,239679,98,A+,Nationwide Lead Gen,NEW
AR-S-0199,Jessica,Cox,+15014834598,jessica.cox@hotmail.com,,9799 Lake Ct,Little Rock,Arkansas,AR,72293,Seller,Fire Damage,Inherited Family Estate (Probate),360875,153285,98,A+,Nationwide Lead Gen,NEW
CA-S-0238,Justin,Martinez,+16199586478,justin.martinez@gmail.com,,481 Summit Way,San Diego,California,CA,92127,Seller,High Equity,Tired Landlord - Ready to Exit,189518,194589,98,A+,Nationwide Lead Gen,NEW
CO-S-0290,Angela,Cooper,+19703633970,angela.cooper@yahoo.com,,864 Business Pkwy,Fort Collins,Colorado,CO,59346,Seller,Vacant Property,Absentee Owner - Lives Out of State,549178,47221,98,A+,Nationwide Lead Gen,NEW
CO-S-0319,Rosa,Hughes,+19705336844,rosa.hughes@outlook.com,,1930 Jefferson Ln,Fort Collins,Colorado,CO,59149,Seller,Fire Damage,Job Relocation - Must Sell Fast,212479,335787,98,A+,Nationwide Lead Gen,NEW
CT-S-0366,Donald,Nelson,+19593228253,donald.nelson@aol.com,,4035 Washington Dr,Hartford,Connecticut,CT,6130,Seller,Tax Delinquent,Distressed Property - Code Violations,285696,120202,98,A+,Nationwide Lead Gen,NEW
CT-S-0380,Melissa,Rivera,+14755675304,melissa.rivera@aol.com,,7700 Washington St,New Haven,Connecticut,CT,17326,Seller,Tax Delinquent,Absentee Owner - Lives Out of State,646621,322469,98,A+,Nationwide Lead Gen,NEW
DE-S-0440,Elena,Scott,+13022088781,elena.scott@yahoo.com,,9997 Enterprise Blvd,Newark,Delaware,DE,36767,Seller,Fire Damage,Distressed Property - Code Violations,610134,203703,98,A+,Nationwide Lead Gen,NEW
ID-S-0660,Henry,Reed,+12082409203,henry.reed@aol.com,,5436 Enterprise Blvd,Boise,Idaho,ID,83764,Seller,Bankruptcy,Inherited Property - Not Interested,346544,370203,98,A+,Nationwide Lead Gen,NEW
