lead_id,first_name,last_name,phone,email,company,address,city,state,zip,lead_type,distress_signal,motivation_profile,asking_price,est_equity,score,grade,source,status
TX-S-0061,Anthony,Lopez,+14696852560,anthony.lopez@yahoo.com,,4881 Adams Ave,Dallas,TX,75226,Seller,Judgment,Inherited Property - Not Interested,476621,148276,98,A+,Texas Lead Gen,NEW
TX-S-0077,Richard,Gonzalez,+19724833218,richard37@gmail.com,,1321 Summit Ln,Garland,TX,75040,Seller,Utility Shutoff,Tax Lien & Pre-Foreclosure Opportunity,798802,57267,98,A+,Texas Lead Gen,NEW
TX-S-0100,Samantha,Morris,+17269987766,samantha.morris@aol.com,,1764 Garden Pkwy,San Antonio,TX,78210,Seller,Eviction,Vacant Property - High Equity,818078,391813,98,A+,Texas Lead Gen,NEW
TX-S-0120,Harold,Wright,+14323351147,hwright@aol.com,,7176 Maple Ct,Midland,TX,79799,Seller,Absentee Owner,Out-of-State Absentee Landlord,286465,306906,98,A+,Texas Lead Gen,NEW
TX-S-0165,Jerry,Hall,+14322157500,jerry45@hotmail.com,,6110 Washington Ct,Midland,TX,79785,Seller,Lien,Property in Probate - Estate Settlement,256798,165098,98,A+,Texas Lead Gen,NEW
TX-S-0043,Donna,Gray,+12102476408,donna41@hotmail.com,,5168 Jackson Ave,San Antonio,TX,78203,Seller,Code Violation,Inherited Family Estate (Probate),890281,397243,97,A+,Texas Lead Gen,NEW
TX-S-0050,Jonathan,Price,+14698544112,jonathan.price@hotmail.com,,5545 Innovation Pkwy,Irving,TX,75053,Seller,Pre-Foreclosure,Avoiding Foreclosure Auction,756911,381449,97,A+,Texas Lead Gen,NEW
TX-S-0059,Janet,Brown,+12542382982,jbrown@hotmail.com,,8755 Oak Pl,Waco,TX,76753,Seller,Eviction,Tax Lien & Pre-Foreclosure Opportunity,847055,88220,97,A+,Texas Lead Gen,NEW
TX-S-0191,Peter,Watson,+18068038045,peter.watson@hotmail.com,,9378 Ridge Blvd,Amarillo,TX,79128,Seller,Vacant Property,Job Relocation - Must Sell Fast,626757,228837,97,A+,Texas Lead Gen,NEW
TX-S-0013,Kevin,Howard,+12144281596,khoward@aol.com,,375 Lincoln Rd,Garland,TX,75048,Seller,Utility Shutoff,Vacant Property - High Equity,855735,251978,96,A+,Texas Lead Gen,NEW
TX-S-0064,Sandra,Foster,+19153091960,sandra.foster@gmail.com,,5245 Business Pl,El Paso,TX,79911,Seller,Eviction,Property in Probate - Estate Settlement,820973,201114,96,A+,Texas Lead Gen,NEW
