Company,Contact_Name,Email,Phone,Website,City,Lead_Source,Status,Confidence,QA_Status
Prime Wholesalers,Robert Miller,robert@primewholesalers.com,+1 432-748-4678,https://www.primewholesalers.com,"Orlando, FL",PropStream Export,New,100,Passed
Elite Wholesalers,Robert Miller,robert@elitewholesalers.com,+1 280-213-4926,https://www.elitewholesalers.com,"Atlanta, GA",PropStream Export,New,100,Passed
Stellar Home Buyers,Michael Garcia,michael@stellarhomebuyers.com,+1 254-930-1212,https://www.stellarhomebuyers.com,"Houston, TX",PropStream Export,New,100,Passed
Horizon Solutions,Michael Johnson,michael@horizonsolutions.com,+1 680-414-1306,https://www.horizonsolutions.com,"Tampa, FL",PropStream Export,New,100,Passed
Eagle Real Estate,Brian Rodriguez,brian@eaglerealestate.com,+1 625-969-1517,https://www.eaglerealestate.com,"Denver, CO",PropStream Export,New,80,Passed
Pioneer Properties,Jessica Garcia,jessica@pioneerproperties.com,+1 269-880-4384,https://www.pioneerproperties.com,"Dallas, TX",PropStream Export,New,100,Passed
Eagle Holdings,Robert Johnson,robert@eagleholdings.com,+1 545-707-3944,https://www.eagleholdings.com,"Dallas, TX",PropStream Export,New,80,Passed
Elite Solutions,Sarah Rodriguez,sarah@elitesolutions.com,+1 630-726-3076,https://www.elitesolutions.com,"Austin, TX",PropStream Export,New,100,Passed
Horizon Wholesalers,Ashley Smith,ashley@horizonwholesalers.com,+1 942-898-7049,https://www.horizonwholesalers.com,"Atlanta, GA",PropStream Export,New,100,Passed
Nova Capital,Ashley Williams,ashley@novacapital.com,+1 506-348-8501,https://www.novacapital.com,"Charlotte, NC",PropStream Export,New,100,Passed
Summit Real Estate,Robert Brown,robert@summitrealestate.com,+1 786-992-2663,https://www.summitrealestate.com,"Austin, TX",PropStream Export,New,80,Passed
Pioneer Holdings,Sarah Jones,sarah@pioneerholdings.com,+1 670-290-1730,https://www.pioneerholdings.com,"Phoenix, AZ",PropStream Export,New,80,Passed
Nova Investments,Christopher Brown,christopher@novainvestments.com,+1 730-534-6792,https://www.novainvestments.com,"Dallas, TX",PropStream Export,New,100,Passed
Velocity Properties,James Johnson,james@velocityproperties.com,+1 653-815-5682,https://www.velocityproperties.com,"Austin, TX",PropStream Export,New,100,Passed
Pioneer Acquisitions,David Williams,david@pioneeracquisitions.com,+1 838-204-8423,https://www.pioneeracquisitions.com,"Dallas, TX",PropStream Export,New,100,Passed
Pioneer Real Estate,John Davis,john@pioneerrealestate.com,+1 667-298-1690,https://www.pioneerrealestate.com,"Houston, TX",PropStream Export,New,80,Passed
NextGen Properties,William Martinez,william@nextgenproperties.com,+1 418-455-1952,https://www.nextgenproperties.com,"Austin, TX",PropStream Export,New,100,Passed
Prime Capital,James Smith,james@primecapital.com,+1 852-981-6641,https://www.primecapital.com,"Atlanta, GA",PropStream Export,New,100,Passed
BlueSky Capital,Robert Smith,robert@blueskycapital.com,+1 670-507-9557,https://www.blueskycapital.com,"Phoenix, AZ",PropStream Export,New,100,Passed
Prime Investments,Emily Johnson,emily@primeinvestments.com,+1 494-473-3899,https://www.primeinvestments.com,"Dallas, TX",PropStream Export,New,100,Passed
Pioneer Home Buyers,Christopher Davis,christopher@pioneerhomebuyers.com,+1 737-720-8904,https://www.pioneerhomebuyers.com,"Denver, CO",PropStream Export,New,100,Passed
Apex Equity,William Williams,william@apexequity.com,+1 978-329-5455,https://www.apexequity.com,"Houston, TX",PropStream Export,New,100,Passed
Vanguard Solutions,Christopher Davis,christopher@vanguardsolutions.com,+1 835-975-4252,https://www.vanguardsolutions.com,"Denver, CO",PropStream Export,New,100,Passed
Horizon Holdings,Emily Davis,emily@horizonholdings.com,+1 297-861-6948,https://www.horizonholdings.com,"Tampa, FL",PropStream Export,New,80,Passed
Prime Solutions,Michael Miller,michael@primesolutions.com,+1 408-671-3796,https://www.primesolutions.com,"Houston, TX",PropStream Export,New,100,Passed
Nova Equity,Sarah Miller,sarah@novaequity.com,+1 372-551-8800,https://www.novaequity.com,"Dallas, TX",PropStream Export,New,100,Passed
NextGen Home Buyers,John Garcia,john@nextgenhomebuyers.com,+1 921-938-8059,https://www.nextgenhomebuyers.com,"Houston, TX",PropStream Export,New,100,Passed
Horizon Properties,David Jones,david@horizonproperties.com,+1 582-826-5630,https://www.horizonproperties.com,"Denver, CO",PropStream Export,New,100,Passed
Velocity Home Buyers,Emily Miller,emily@velocityhomebuyers.com,+1 960-793-6570,https://www.velocityhomebuyers.com,"Austin, TX",PropStream Export,New,100,Passed
Horizon Equity,Emily Williams,emily@horizonequity.com,+1 286-897-2910,https://www.horizonequity.com,"Charlotte, NC",PropStream Export,New,100,Passed
Pioneer Investments,John Johnson,john@pioneerinvestments.com,+1 920-409-7768,https://www.pioneerinvestments.com,"Dallas, TX",PropStream Export,New,100,Passed
