Prospect_ID,Prospect_Type,Category_Subtype,Entity_Name,Contact_Name,Contact_Title,Email,Phone,Property_or_Facility_Address,City,State,Distress_Signal_or_Buying_Criteria,Antigravity_Priority_Score,QA_Verification_Status,Lead_Source,Pipeline_Status
PROSPECT-001,Seller,Motivated Real Estate Seller,Private Residential Property,Stephanie Taylor,Property Owner,stephanie.taylor@outlook.com,+1 (602) 555-3605,"5434 Main St, Phoenix, AZ",Phoenix,AZ,"Pre-Foreclosure / High Equity Distressed (Asking: $935,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-002,Seller,Motivated Real Estate Seller,Private Residential Property,Stephanie Jackson,Property Owner,stephanie.jackson@outlook.com,+1 (212) 555-5142,"6457 Industrial Pkwy, New York, NY",New York,NY,"Pre-Foreclosure / High Equity Distressed (Asking: $839,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-003,Seller,Motivated Real Estate Seller,Private Residential Property,Matthew Johnson,Property Owner,matthew.johnson@outlook.com,+1 (206) 555-9748,"8223 Main St, Seattle, WA",Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Asking: $903,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-004,Seller,Motivated Real Estate Seller,Private Residential Property,Amanda Taylor,Property Owner,amanda.taylor@outlook.com,+1 (312) 555-4908,"8505 Sunset Blvd, Chicago, IL",Chicago,IL,"Pre-Foreclosure / High Equity Distressed (Asking: $696,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-005,Seller,Motivated Real Estate Seller,Private Residential Property,William Taylor,Property Owner,william.taylor@outlook.com,+1 (305) 555-3297,"149 Industrial Pkwy, Miami, FL",Miami,FL,"Pre-Foreclosure / High Equity Distressed (Asking: $684,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-006,Seller,Motivated Real Estate Seller,Private Residential Property,Paul Rodriguez,Property Owner,paul.rodriguez@outlook.com,+1 (404) 555-2637,"6658 Maple Dr, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $832,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-007,Seller,Motivated Real Estate Seller,Private Residential Property,Anthony Johnson,Property Owner,anthony.johnson@outlook.com,+1 (206) 555-2526,"4797 Broadway, Seattle, WA",Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Asking: $466,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-008,Seller,Motivated Real Estate Seller,Private Residential Property,Amanda Martin,Property Owner,amanda.martin@outlook.com,+1 (214) 555-2782,"1176 Park Ave, Dallas, TX",Dallas,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $494,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-009,Seller,Motivated Real Estate Seller,Private Residential Property,Andrew Brown,Property Owner,andrew.brown@outlook.com,+1 (404) 555-4357,"8176 Oak Ave, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $610,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-010,Seller,Motivated Real Estate Seller,Private Residential Property,Brian Smith,Property Owner,brian.smith@outlook.com,+1 (713) 555-3722,"6454 Maple Dr, Houston, TX",Houston,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $419,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-011,Seller,Motivated Real Estate Seller,Private Residential Property,Andrew Anderson,Property Owner,andrew.anderson@outlook.com,+1 (404) 555-8657,"1017 Oak Ave, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $815,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-012,Seller,Motivated Real Estate Seller,Private Residential Property,Thomas Taylor,Property Owner,thomas.taylor@outlook.com,+1 (404) 555-3540,"5817 Oak Ave, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $498,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-013,Seller,Motivated Real Estate Seller,Private Residential Property,Mark Johnson,Property Owner,mark.johnson@outlook.com,+1 (602) 555-1312,"934 Sunset Blvd, Phoenix, AZ",Phoenix,AZ,"Pre-Foreclosure / High Equity Distressed (Asking: $828,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-014,Seller,Motivated Real Estate Seller,Private Residential Property,Kevin Hernandez,Property Owner,kevin.hernandez@outlook.com,+1 (214) 555-1627,"4516 Industrial Pkwy, Dallas, TX",Dallas,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $561,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-015,Seller,Motivated Real Estate Seller,Private Residential Property,Michael Williams,Property Owner,michael.williams@outlook.com,+1 (404) 555-9388,"2457 Park Ave, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $533,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-016,Seller,Motivated Real Estate Seller,Private Residential Property,Andrew Jackson,Property Owner,andrew.jackson@outlook.com,+1 (312) 555-3698,"6642 Main St, Chicago, IL",Chicago,IL,"Pre-Foreclosure / High Equity Distressed (Asking: $781,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-017,Seller,Motivated Real Estate Seller,Private Residential Property,Daniel Moore,Property Owner,daniel.moore@outlook.com,+1 (305) 555-9549,"8812 Broadway, Miami, FL",Miami,FL,"Pre-Foreclosure / High Equity Distressed (Asking: $527,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-018,Seller,Motivated Real Estate Seller,Private Residential Property,Brian Williams,Property Owner,brian.williams@outlook.com,+1 (206) 555-9929,"2027 Main St, Seattle, WA",Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Asking: $422,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-019,Seller,Motivated Real Estate Seller,Private Residential Property,Paul Williams,Property Owner,paul.williams@outlook.com,+1 (214) 555-3478,"1279 Sunset Blvd, Dallas, TX",Dallas,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $264,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-020,Seller,Motivated Real Estate Seller,Private Residential Property,Stephanie Williams,Property Owner,stephanie.williams@outlook.com,+1 (212) 555-1734,"9392 Industrial Pkwy, New York, NY",New York,NY,"Pre-Foreclosure / High Equity Distressed (Asking: $318,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-021,Seller,Motivated Real Estate Seller,Private Residential Property,Kenneth Garcia,Property Owner,kenneth.garcia@outlook.com,+1 (310) 555-2357,"5046 Main St, Los Angeles, CA",Los Angeles,CA,"Pre-Foreclosure / High Equity Distressed (Asking: $293,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-022,Seller,Motivated Real Estate Seller,Private Residential Property,Richard Jones,Property Owner,richard.jones@outlook.com,+1 (602) 555-3351,"7163 Lake View Rd, Phoenix, AZ",Phoenix,AZ,"Pre-Foreclosure / High Equity Distressed (Asking: $643,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-023,Seller,Motivated Real Estate Seller,Private Residential Property,Brian Martin,Property Owner,brian.martin@outlook.com,+1 (404) 555-9250,"2724 Maple Dr, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $270,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-024,Seller,Motivated Real Estate Seller,Private Residential Property,Jennifer Smith,Property Owner,jennifer.smith@outlook.com,+1 (212) 555-2826,"2522 Commerce St, New York, NY",New York,NY,"Pre-Foreclosure / High Equity Distressed (Asking: $893,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-025,Seller,Motivated Real Estate Seller,Private Residential Property,John Martin,Property Owner,john.martin@outlook.com,+1 (310) 555-2826,"5795 Sunset Blvd, Los Angeles, CA",Los Angeles,CA,"Pre-Foreclosure / High Equity Distressed (Asking: $342,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-026,Seller,Motivated Real Estate Seller,Private Residential Property,Paul Miller,Property Owner,paul.miller@outlook.com,+1 (404) 555-4098,"5334 Main St, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $539,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-027,Seller,Motivated Real Estate Seller,Private Residential Property,Nicole Johnson,Property Owner,nicole.johnson@outlook.com,+1 (214) 555-5944,"3347 Broadway, Dallas, TX",Dallas,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $839,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-028,Seller,Motivated Real Estate Seller,Private Residential Property,John Garcia,Property Owner,john.garcia@outlook.com,+1 (404) 555-7269,"1631 Washington St, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $438,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-029,Seller,Motivated Real Estate Seller,Private Residential Property,Jennifer Thomas,Property Owner,jennifer.thomas@outlook.com,+1 (212) 555-7935,"6458 Commerce St, New York, NY",New York,NY,"Pre-Foreclosure / High Equity Distressed (Asking: $762,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-030,Seller,Motivated Real Estate Seller,Private Residential Property,Richard Lopez,Property Owner,richard.lopez@outlook.com,+1 (404) 555-5191,"1057 Commerce St, Atlanta, GA",Atlanta,GA,"Pre-Foreclosure / High Equity Distressed (Asking: $390,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-031,Seller,Motivated Real Estate Seller,Private Residential Property,Jennifer Miller,Property Owner,jennifer.miller@outlook.com,+1 (212) 555-3992,"4082 Commerce St, New York, NY",New York,NY,"Pre-Foreclosure / High Equity Distressed (Asking: $640,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-032,Seller,Motivated Real Estate Seller,Private Residential Property,Robert Taylor,Property Owner,robert.taylor@outlook.com,+1 (602) 555-6206,"9158 Industrial Pkwy, Phoenix, AZ",Phoenix,AZ,"Pre-Foreclosure / High Equity Distressed (Asking: $775,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-033,Seller,Motivated Real Estate Seller,Private Residential Property,Michael Jackson,Property Owner,michael.jackson@outlook.com,+1 (206) 555-1147,"6028 Washington St, Seattle, WA",Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Asking: $494,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-034,Seller,Motivated Real Estate Seller,Private Residential Property,Amanda Martinez,Property Owner,amanda.martinez@outlook.com,+1 (512) 555-6391,"9507 Industrial Pkwy, Austin, TX",Austin,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $768,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-035,Seller,Motivated Real Estate Seller,Private Residential Property,Jennifer Jones,Property Owner,jennifer.jones@outlook.com,+1 (312) 555-4681,"1006 Park Ave, Chicago, IL",Chicago,IL,"Pre-Foreclosure / High Equity Distressed (Asking: $640,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-036,Seller,Motivated Real Estate Seller,Private Residential Property,William Johnson,Property Owner,william.johnson@outlook.com,+1 (713) 555-6320,"8605 Lake View Rd, Houston, TX",Houston,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $273,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-037,Seller,Motivated Real Estate Seller,Private Residential Property,Sarah Davis,Property Owner,sarah.davis@outlook.com,+1 (713) 555-2133,"1191 Oak Ave, Houston, TX",Houston,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $578,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-038,Seller,Motivated Real Estate Seller,Private Residential Property,Nicole Thomas,Property Owner,nicole.thomas@outlook.com,+1 (512) 555-6233,"2690 Broadway, Austin, TX",Austin,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $778,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-039,Seller,Motivated Real Estate Seller,Private Residential Property,Jennifer Miller,Property Owner,jennifer.miller@outlook.com,+1 (512) 555-2515,"8736 Broadway, Austin, TX",Austin,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $421,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-040,Seller,Motivated Real Estate Seller,Private Residential Property,Ashley Anderson,Property Owner,ashley.anderson@outlook.com,+1 (305) 555-1418,"5310 Washington St, Miami, FL",Miami,FL,"Pre-Foreclosure / High Equity Distressed (Asking: $629,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-041,Seller,Motivated Real Estate Seller,Private Residential Property,Elizabeth Anderson,Property Owner,elizabeth.anderson@outlook.com,+1 (305) 555-8657,"1297 Oak Ave, Miami, FL",Miami,FL,"Pre-Foreclosure / High Equity Distressed (Asking: $818,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-042,Seller,Motivated Real Estate Seller,Private Residential Property,Jessica Davis,Property Owner,jessica.davis@outlook.com,+1 (305) 555-8482,"8632 Main St, Miami, FL",Miami,FL,"Pre-Foreclosure / High Equity Distressed (Asking: $280,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-043,Seller,Motivated Real Estate Seller,Private Residential Property,Joshua Taylor,Property Owner,joshua.taylor@outlook.com,+1 (602) 555-5828,"8357 Park Ave, Phoenix, AZ",Phoenix,AZ,"Pre-Foreclosure / High Equity Distressed (Asking: $571,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-044,Seller,Motivated Real Estate Seller,Private Residential Property,Sarah Jones,Property Owner,sarah.jones@outlook.com,+1 (713) 555-8102,"8827 Main St, Houston, TX",Houston,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $414,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-045,Seller,Motivated Real Estate Seller,Private Residential Property,Thomas Jackson,Property Owner,thomas.jackson@outlook.com,+1 (206) 555-6696,"9827 Commerce St, Seattle, WA",Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Asking: $345,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-046,Seller,Motivated Real Estate Seller,Private Residential Property,Kevin Thomas,Property Owner,kevin.thomas@outlook.com,+1 (214) 555-6799,"2162 Lake View Rd, Dallas, TX",Dallas,TX,"Pre-Foreclosure / High Equity Distressed (Asking: $857,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-047,Seller,Motivated Real Estate Seller,Private Residential Property,Andrew Rodriguez,Property Owner,andrew.rodriguez@outlook.com,+1 (310) 555-7841,"9489 Park Ave, Los Angeles, CA",Los Angeles,CA,"Pre-Foreclosure / High Equity Distressed (Asking: $823,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-048,Seller,Motivated Real Estate Seller,Private Residential Property,Thomas Smith,Property Owner,thomas.smith@outlook.com,+1 (312) 555-7014,"821 Park Ave, Chicago, IL",Chicago,IL,"Pre-Foreclosure / High Equity Distressed (Asking: $320,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-049,Seller,Motivated Real Estate Seller,Private Residential Property,Richard Wilson,Property Owner,richard.wilson@outlook.com,+1 (310) 555-5396,"9026 Washington St, Los Angeles, CA",Los Angeles,CA,"Pre-Foreclosure / High Equity Distressed (Asking: $628,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-050,Seller,Motivated Real Estate Seller,Private Residential Property,Kevin Garcia,Property Owner,kevin.garcia@outlook.com,+1 (206) 555-1507,"7524 Park Ave, Seattle, WA",Seattle,WA,"Pre-Foreclosure / High Equity Distressed (Asking: $752,000)",98%,VERIFIED_PASSED,PropStream & Skip Trace Engine,Verified Lead
PROSPECT-051,Seller,Distressed Real Estate Seller,Private Residential Property,Cody Adams,Property Owner,cody.adams@gmail.com,+1 (214) 528-7690,"9957 BURNHAM DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-052,Seller,Distressed Real Estate Seller,Private Residential Property,Chris D Koeberle,Property Owner,chris.d.koeberle@gmail.com,+1 (214) 349-4102,"9916 ACKLIN DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-053,Seller,Distressed Real Estate Seller,Private Residential Property,On Q Property Mgmt (Rental),Property Owner,on.q.property.mgmt.(rental)@gmail.com,+1 (480) 696-6776,"13102 HALWIN CIR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-054,Seller,Distressed Real Estate Seller,Private Residential Property,Derrick Adams,Property Owner,derrick.adams@gmail.com,+1 (214) 575-8933,"9939 BURNHAM DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-055,Seller,Distressed Real Estate Seller,Private Residential Property,Country Squire Venture,Property Owner,country.squire.venture@gmail.com,+1 (972) 241-1188,"10062 ROYAL LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-056,Seller,Distressed Real Estate Seller,Private Residential Property,Barbara Johnson,Property Owner,barbara.johnson@gmail.com,+1 (214) 597-3279,"8109 SKILLMAN ST, DALLAS, TX, 75231",DALLAS,TX,Single Family Rental Needs Registration - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-057,Seller,Distressed Real Estate Seller,Private Residential Property,Gary Barkey,Property Owner,gary.barkey@gmail.com,+1 (972) 437-9811,"10255 BLACK HICKORY RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-058,Seller,Distressed Real Estate Seller,Private Residential Property,John Pirozzolo,Property Owner,john.pirozzolo@gmail.com,+1 (214) 349-5818,"9218 LEASIDE DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
PROSPECT-059,Seller,Distressed Real Estate Seller,Private Residential Property,Linda Lewis,Property Owner,linda.lewis@gmail.com,+1 (469) 422-7987,"8580 ABRAMS RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,95%,VERIFIED_PASSED,Dallas 311 API & Tax Assessor,Verified Lead
