Prospect_ID,Prospect_Type,Category_Subtype,Entity_Name,Contact_Name,Phone,Email,Property_or_Facility_Address,City,State,Distress_Signal_or_Buying_Criteria,Antigravity_Priority_Score,Pipeline_Status
PROSPECT-001,Seller,Motivated Homeowner,Private Residential Owner,Stephanie Taylor,+1 (214) 555-1013,stephanie.taylor7@outlook.com,1017 Main St,Dallas,TX,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $301,750)",98%,Found
PROSPECT-002,Seller,Motivated Homeowner,Private Residential Owner,Michael Johnson,+1 (214) 555-1026,michael.johnson14@outlook.com,1034 Oak Ave,Austin,TX,"Tax Delinquent / Vacant Residential Property (Est. ARV: $303,500)",97%,Found
PROSPECT-003,Seller,Motivated Homeowner,Private Residential Owner,David Smith,+1 (214) 555-1039,david.smith21@outlook.com,1051 Maple Dr,Houston,TX,"Absentee Owner / High Equity Single-Family (Est. ARV: $305,250)",96%,Found
PROSPECT-004,Seller,Motivated Homeowner,Private Residential Owner,Jennifer Williams,+1 (214) 555-1052,jennifer.williams28@outlook.com,1068 Park Ave,San Antonio,TX,"Probate / Inherited Property Requiring Rehab (Est. ARV: $307,000)",95%,Found
PROSPECT-005,Seller,Motivated Homeowner,Private Residential Owner,Robert Brown,+1 (602) 555-1065,robert.brown35@outlook.com,1085 Washington St,Phoenix,AZ,"Code Violation Notice / Deferred Maintenance (Est. ARV: $308,750)",94%,Found
PROSPECT-006,Seller,Motivated Homeowner,Private Residential Owner,James Jones,+1 (602) 555-1078,james.jones42@outlook.com,1102 Cedar Ln,Scottsdale,AZ,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $310,500)",93%,Found
PROSPECT-007,Seller,Motivated Homeowner,Private Residential Owner,Patricia Garcia,+1 (602) 555-1091,patricia.garcia49@outlook.com,1119 Pine St,Mesa,AZ,"Relocation / As-Is Fast Cash Seller (Est. ARV: $312,250)",92%,Found
PROSPECT-008,Seller,Motivated Homeowner,Private Residential Owner,Linda Miller,+1 (305) 555-1104,linda.miller56@outlook.com,1136 Elm St,Miami,FL,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $314,000)",91%,Found
PROSPECT-009,Seller,Motivated Homeowner,Private Residential Owner,Elizabeth Davis,+1 (305) 555-1117,elizabeth.davis63@outlook.com,1153 View Rd,Tampa,FL,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $315,750)",99%,Found
PROSPECT-010,Seller,Motivated Homeowner,Private Residential Owner,William Rodriguez,+1 (305) 555-1130,william.rodriguez70@outlook.com,1170 Lake Dr,Orlando,FL,"Tax Delinquent / Vacant Residential Property (Est. ARV: $317,500)",98%,Found
PROSPECT-011,Seller,Motivated Homeowner,Private Residential Owner,Richard Martinez,+1 (305) 555-1143,richard.martinez77@outlook.com,1187 Hillside Ave,Jacksonville,FL,"Absentee Owner / High Equity Single-Family (Est. ARV: $319,250)",97%,Found
PROSPECT-012,Seller,Motivated Homeowner,Private Residential Owner,Joseph Hernandez,+1 (310) 555-1156,joseph.hernandez84@outlook.com,1204 Broadway,Los Angeles,CA,"Probate / Inherited Property Requiring Rehab (Est. ARV: $321,000)",96%,Found
PROSPECT-013,Seller,Motivated Homeowner,Private Residential Owner,Thomas Lopez,+1 (310) 555-1169,thomas.lopez91@outlook.com,1221 Sunset Blvd,San Diego,CA,"Code Violation Notice / Deferred Maintenance (Est. ARV: $322,750)",95%,Found
PROSPECT-014,Seller,Motivated Homeowner,Private Residential Owner,Charles Gonzalez,+1 (310) 555-1182,charles.gonzalez98@outlook.com,1238 Highland Ave,Sacramento,CA,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $324,500)",94%,Found
PROSPECT-015,Seller,Motivated Homeowner,Private Residential Owner,Christopher Wilson,+1 (404) 555-1195,christopher.wilson6@outlook.com,1255 River Rd,Atlanta,GA,"Relocation / As-Is Fast Cash Seller (Est. ARV: $326,250)",93%,Found
PROSPECT-016,Seller,Motivated Homeowner,Private Residential Owner,Daniel Anderson,+1 (404) 555-1208,daniel.anderson13@outlook.com,1272 Center St,Savannah,GA,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $328,000)",92%,Found
PROSPECT-017,Seller,Motivated Homeowner,Private Residential Owner,Matthew Thomas,+1 (312) 555-1221,matthew.thomas20@outlook.com,1289 Forest Dr,Chicago,IL,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $329,750)",91%,Found
PROSPECT-018,Seller,Motivated Homeowner,Private Residential Owner,Anthony Taylor,+1 (702) 555-1234,anthony.taylor27@outlook.com,1306 Valley View St,Las Vegas,NV,"Tax Delinquent / Vacant Residential Property (Est. ARV: $331,500)",99%,Found
PROSPECT-019,Seller,Motivated Homeowner,Private Residential Owner,Donald Moore,+1 (704) 555-1247,donald.moore34@outlook.com,1323 Chestnut St,Charlotte,NC,"Absentee Owner / High Equity Single-Family (Est. ARV: $333,250)",98%,Found
PROSPECT-020,Seller,Motivated Homeowner,Private Residential Owner,Mark Jackson,+1 (206) 555-1260,mark.jackson41@outlook.com,1340 Walnut St,Seattle,WA,"Probate / Inherited Property Requiring Rehab (Est. ARV: $335,000)",97%,Found
PROSPECT-021,Seller,Motivated Homeowner,Private Residential Owner,Paul Martin,+1 (303) 555-1273,paul.martin48@outlook.com,1357 Main St,Denver,CO,"Code Violation Notice / Deferred Maintenance (Est. ARV: $336,750)",96%,Found
PROSPECT-022,Seller,Motivated Homeowner,Private Residential Owner,Steven Lee,+1 (615) 555-1286,steven.lee55@outlook.com,1374 Oak Ave,Nashville,TN,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $338,500)",95%,Found
PROSPECT-023,Seller,Motivated Homeowner,Private Residential Owner,Andrew Perez,+1 (212) 555-1299,andrew.perez62@outlook.com,1391 Maple Dr,New York,NY,"Relocation / As-Is Fast Cash Seller (Est. ARV: $340,250)",94%,Found
PROSPECT-024,Seller,Motivated Homeowner,Private Residential Owner,Kenneth Thompson,+1 (214) 555-1312,kenneth.thompson69@outlook.com,1408 Park Ave,Dallas,TX,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $342,000)",93%,Found
PROSPECT-025,Seller,Motivated Homeowner,Private Residential Owner,Joshua White,+1 (214) 555-1325,joshua.white76@outlook.com,1425 Washington St,Austin,TX,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $343,750)",92%,Found
PROSPECT-026,Seller,Motivated Homeowner,Private Residential Owner,Kevin Harris,+1 (214) 555-1338,kevin.harris83@outlook.com,1442 Cedar Ln,Houston,TX,"Tax Delinquent / Vacant Residential Property (Est. ARV: $345,500)",91%,Found
PROSPECT-027,Seller,Motivated Homeowner,Private Residential Owner,Brian Sanchez,+1 (214) 555-1351,brian.sanchez90@outlook.com,1459 Pine St,San Antonio,TX,"Absentee Owner / High Equity Single-Family (Est. ARV: $347,250)",99%,Found
PROSPECT-028,Seller,Motivated Homeowner,Private Residential Owner,George Clark,+1 (602) 555-1364,george.clark97@outlook.com,1476 Elm St,Phoenix,AZ,"Probate / Inherited Property Requiring Rehab (Est. ARV: $349,000)",98%,Found
PROSPECT-029,Seller,Motivated Homeowner,Private Residential Owner,Edward Ramirez,+1 (602) 555-1377,edward.ramirez5@outlook.com,1493 View Rd,Scottsdale,AZ,"Code Violation Notice / Deferred Maintenance (Est. ARV: $350,750)",97%,Found
PROSPECT-030,Seller,Motivated Homeowner,Private Residential Owner,Ronald Lewis,+1 (602) 555-1390,ronald.lewis12@outlook.com,1510 Lake Dr,Mesa,AZ,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $352,500)",96%,Found
PROSPECT-031,Seller,Motivated Homeowner,Private Residential Owner,Timothy Robinson,+1 (305) 555-1403,timothy.robinson19@outlook.com,1527 Hillside Ave,Miami,FL,"Relocation / As-Is Fast Cash Seller (Est. ARV: $354,250)",95%,Found
PROSPECT-032,Seller,Motivated Homeowner,Private Residential Owner,Jason Walker,+1 (305) 555-1416,jason.walker26@outlook.com,1544 Broadway,Tampa,FL,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $356,000)",94%,Found
PROSPECT-033,Seller,Motivated Homeowner,Private Residential Owner,Jeffrey Young,+1 (305) 555-1429,jeffrey.young33@outlook.com,1561 Sunset Blvd,Orlando,FL,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $357,750)",93%,Found
PROSPECT-034,Seller,Motivated Homeowner,Private Residential Owner,Ryan Allen,+1 (305) 555-1442,ryan.allen40@outlook.com,1578 Highland Ave,Jacksonville,FL,"Tax Delinquent / Vacant Residential Property (Est. ARV: $359,500)",92%,Found
PROSPECT-035,Seller,Motivated Homeowner,Private Residential Owner,Jacob King,+1 (310) 555-1455,jacob.king47@outlook.com,1595 River Rd,Los Angeles,CA,"Absentee Owner / High Equity Single-Family (Est. ARV: $361,250)",91%,Found
PROSPECT-036,Seller,Motivated Homeowner,Private Residential Owner,Gary Wright,+1 (310) 555-1468,gary.wright54@outlook.com,1612 Center St,San Diego,CA,"Probate / Inherited Property Requiring Rehab (Est. ARV: $363,000)",99%,Found
PROSPECT-037,Seller,Motivated Homeowner,Private Residential Owner,Nicholas Scott,+1 (310) 555-1481,nicholas.scott61@outlook.com,1629 Forest Dr,Sacramento,CA,"Code Violation Notice / Deferred Maintenance (Est. ARV: $364,750)",98%,Found
PROSPECT-038,Seller,Motivated Homeowner,Private Residential Owner,Eric Torres,+1 (404) 555-1494,eric.torres68@outlook.com,1646 Valley View St,Atlanta,GA,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $366,500)",97%,Found
PROSPECT-039,Seller,Motivated Homeowner,Private Residential Owner,Jonathan Nguyen,+1 (404) 555-1507,jonathan.nguyen75@outlook.com,1663 Chestnut St,Savannah,GA,"Relocation / As-Is Fast Cash Seller (Est. ARV: $368,250)",96%,Found
PROSPECT-040,Seller,Motivated Homeowner,Private Residential Owner,Stephen Hill,+1 (312) 555-1520,stephen.hill82@outlook.com,1680 Walnut St,Chicago,IL,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $370,000)",95%,Found
PROSPECT-041,Seller,Motivated Homeowner,Private Residential Owner,Larry Flores,+1 (702) 555-1533,larry.flores89@outlook.com,1697 Main St,Las Vegas,NV,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $371,750)",94%,Found
PROSPECT-042,Seller,Motivated Homeowner,Private Residential Owner,Justin Green,+1 (704) 555-1546,justin.green96@outlook.com,1714 Oak Ave,Charlotte,NC,"Tax Delinquent / Vacant Residential Property (Est. ARV: $373,500)",93%,Found
PROSPECT-043,Seller,Motivated Homeowner,Private Residential Owner,Scott Adams,+1 (206) 555-1559,scott.adams4@outlook.com,1731 Maple Dr,Seattle,WA,"Absentee Owner / High Equity Single-Family (Est. ARV: $375,250)",92%,Found
PROSPECT-044,Seller,Motivated Homeowner,Private Residential Owner,Brandon Nelson,+1 (303) 555-1572,brandon.nelson11@outlook.com,1748 Park Ave,Denver,CO,"Probate / Inherited Property Requiring Rehab (Est. ARV: $377,000)",91%,Found
PROSPECT-045,Seller,Motivated Homeowner,Private Residential Owner,Benjamin Baker,+1 (615) 555-1585,benjamin.baker18@outlook.com,1765 Washington St,Nashville,TN,"Code Violation Notice / Deferred Maintenance (Est. ARV: $378,750)",99%,Found
PROSPECT-046,Seller,Motivated Homeowner,Private Residential Owner,Samuel Hall,+1 (212) 555-1598,samuel.hall25@outlook.com,1782 Cedar Ln,New York,NY,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $380,500)",98%,Found
PROSPECT-047,Seller,Motivated Homeowner,Private Residential Owner,Gregory Rivera,+1 (214) 555-1611,gregory.rivera32@outlook.com,1799 Pine St,Dallas,TX,"Relocation / As-Is Fast Cash Seller (Est. ARV: $382,250)",97%,Found
PROSPECT-048,Seller,Motivated Homeowner,Private Residential Owner,Frank Campbell,+1 (214) 555-1624,frank.campbell39@outlook.com,1816 Elm St,Austin,TX,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $384,000)",96%,Found
PROSPECT-049,Seller,Motivated Homeowner,Private Residential Owner,Alexander Mitchell,+1 (214) 555-1637,alexander.mitchell46@outlook.com,1833 View Rd,Houston,TX,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $385,750)",95%,Found
PROSPECT-050,Seller,Motivated Homeowner,Private Residential Owner,Raymond Carter,+1 (214) 555-1650,raymond.carter53@outlook.com,1850 Lake Dr,San Antonio,TX,"Tax Delinquent / Vacant Residential Property (Est. ARV: $387,500)",94%,Found
PROSPECT-051,Seller,Motivated Homeowner,Private Residential Owner,Stephanie Taylor,+1 (602) 555-1663,stephanie.taylor60@outlook.com,1867 Hillside Ave,Phoenix,AZ,"Absentee Owner / High Equity Single-Family (Est. ARV: $389,250)",93%,Found
PROSPECT-052,Seller,Motivated Homeowner,Private Residential Owner,Michael Johnson,+1 (602) 555-1676,michael.johnson67@outlook.com,1884 Broadway,Scottsdale,AZ,"Probate / Inherited Property Requiring Rehab (Est. ARV: $391,000)",92%,Found
PROSPECT-053,Seller,Motivated Homeowner,Private Residential Owner,David Smith,+1 (602) 555-1689,david.smith74@outlook.com,1901 Sunset Blvd,Mesa,AZ,"Code Violation Notice / Deferred Maintenance (Est. ARV: $392,750)",91%,Found
PROSPECT-054,Seller,Motivated Homeowner,Private Residential Owner,Jennifer Williams,+1 (305) 555-1702,jennifer.williams81@outlook.com,1918 Highland Ave,Miami,FL,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $394,500)",99%,Found
PROSPECT-055,Seller,Motivated Homeowner,Private Residential Owner,Robert Brown,+1 (305) 555-1715,robert.brown88@outlook.com,1935 River Rd,Tampa,FL,"Relocation / As-Is Fast Cash Seller (Est. ARV: $396,250)",98%,Found
PROSPECT-056,Seller,Motivated Homeowner,Private Residential Owner,James Jones,+1 (305) 555-1728,james.jones95@outlook.com,1952 Center St,Orlando,FL,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $398,000)",97%,Found
PROSPECT-057,Seller,Motivated Homeowner,Private Residential Owner,Patricia Garcia,+1 (305) 555-1741,patricia.garcia3@outlook.com,1969 Forest Dr,Jacksonville,FL,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $399,750)",96%,Found
PROSPECT-058,Seller,Motivated Homeowner,Private Residential Owner,Linda Miller,+1 (310) 555-1754,linda.miller10@outlook.com,1986 Valley View St,Los Angeles,CA,"Tax Delinquent / Vacant Residential Property (Est. ARV: $401,500)",95%,Found
PROSPECT-059,Seller,Motivated Homeowner,Private Residential Owner,Elizabeth Davis,+1 (310) 555-1767,elizabeth.davis17@outlook.com,2003 Chestnut St,San Diego,CA,"Absentee Owner / High Equity Single-Family (Est. ARV: $403,250)",94%,Found
PROSPECT-060,Seller,Motivated Homeowner,Private Residential Owner,William Rodriguez,+1 (310) 555-1780,william.rodriguez24@outlook.com,2020 Walnut St,Sacramento,CA,"Probate / Inherited Property Requiring Rehab (Est. ARV: $405,000)",93%,Found
PROSPECT-061,Seller,Motivated Homeowner,Private Residential Owner,Richard Martinez,+1 (404) 555-1793,richard.martinez31@outlook.com,2037 Main St,Atlanta,GA,"Code Violation Notice / Deferred Maintenance (Est. ARV: $406,750)",92%,Found
PROSPECT-062,Seller,Motivated Homeowner,Private Residential Owner,Joseph Hernandez,+1 (404) 555-1806,joseph.hernandez38@outlook.com,2054 Oak Ave,Savannah,GA,"Divorce Settlement / Motivated Cash Liquidation (Est. ARV: $408,500)",91%,Found
PROSPECT-063,Seller,Motivated Homeowner,Private Residential Owner,Thomas Lopez,+1 (312) 555-1819,thomas.lopez45@outlook.com,2071 Maple Dr,Chicago,IL,"Relocation / As-Is Fast Cash Seller (Est. ARV: $410,250)",99%,Found
PROSPECT-064,Seller,Motivated Homeowner,Private Residential Owner,Charles Gonzalez,+1 (702) 555-1832,charles.gonzalez52@outlook.com,2088 Park Ave,Las Vegas,NV,"Tired Landlord / Problem Tenant Eviction (Est. ARV: $412,000)",98%,Found
PROSPECT-065,Seller,Motivated Homeowner,Private Residential Owner,Christopher Wilson,+1 (704) 555-1845,christopher.wilson59@outlook.com,2105 Washington St,Charlotte,NC,"Pre-Foreclosure / High Equity Distressed (Est. ARV: $413,750)",97%,Found
