source,type,entity,contact,email,phone,website,address,city,state,distress,confidence,status
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"12124 SCHROEDER RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9959 ADLETA BLVD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"12602 TRENTON DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"8519 ARBORSIDE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"10111 DEERMONT TRL, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9815 BENT BRANCH LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"10512 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9612 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9600 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9202 CLUB GLEN DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"11601 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9710 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9656 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"10154 FAIRCREST DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9857 AUDELIA RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"8526 WESTFIELD DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"9601 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"10814 MEADOWCLIFF LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"12133 HOBLITZELLE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
master,Distressed Property,ACTION_REQUIRED_SKIP_TRACE,,,ACTION_REQUIRED_SKIP_TRACE,,"11945 HOBLITZELLE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,,New
